ObjectName,ObjectID,ObjectCategory,GtCategory,Planarity,Scatter,Linearity,MinHeight,MaxHeight,centroid_x,centroid_y,centroid_z,Volume,BiggestArea,Orientation,HueMean,SatMean,ValMean,HueStdv,SatStdv,ValStdv,HueHist0,HueHist1,HueHist2,HueHist3,HueHist4,ValHist0,ValHist1,ValHist2,ValHist3,ValHist4,SatHist0,SatHist1,SatHist2,SatHist3,SatHist4
faucet_0,0,faucet,0,0.201816,0.672186,0.40737,0.78002,0.854401,0.17735,0.815482,1.51807,0.000654135,0.00984175,83.4617,244.616,0.181062,0.49646,54.2895,0.183892,0.173679,0.0469799,0,0.00671141,0.892617,0.0536913,0.0604027,0.201342,0.47651,0.241611,0.0201342,0.758389,0.14094,0.0671141,0.0134228,0.0201342
teddy_pumba_0,1,teddy_pumba,1,0.253285,0.681113,0.395028,0.776429,0.863375,0.327419,0.813317,1.72162,0.00113787,0.0143338,82.3328,74.1788,0.602648,0.375813,126.398,0.300293,0.17771,0.805365,0.00062383,0.00062383,0.0187149,0.174672,0.0605115,0.640674,0.160324,0.116656,0.0218341,0.155334,0.15471,0.0848409,0.244541,0.360574
tooth_brush_holder_0,2,tooth_brush_holder,2,0.141239,0.698925,0.477769,0.752638,0.914997,0.257506,0.840404,1.80486,0.00144678,0.016224,82.2643,152.439,0.142808,0.588493,140.378,0.129831,0.158644,0.520833,0.00520833,0.00852273,0.194129,0.271307,0.0179924,0.101799,0.390625,0.400095,0.0894886,0.789773,0.158617,0.0388258,0.00757576,0.00520833
sink_0,3,sink,3,0.141993,0.769737,0.583609,0.47999,0.799396,0.262759,0.718677,1.42305,0.151173,0.426399,7.90276,194.582,0.185584,0.538165,125.759,0.25812,0.311493,0.328328,0.00352297,0.0101076,0.395559,0.262482,0.204521,0.124248,0.097427,0.394887,0.178917,0.758718,0.0950993,0.0382284,0.0477908,0.0601631
mirror_0,4,mirror,4,0.258505,0.739656,0.480232,1.02533,1.76991,0.173442,1.24203,1.70443,0.0651831,0.711105,88.1236,150.686,0.295935,0.353944,151.469,0.176135,0.180164,0.545793,0.000566848,0.00234837,0.12665,0.324642,0.179772,0.507733,0.214106,0.0700462,0.0283424,0.356385,0.382541,0.20609,0.0489918,0.00599239
window_0,5,window,5,0.391323,0.488305,0.0367963,1.1617,1.93297,0.915039,1.47783,2.0707,0.307893,0.840505,86.5883,132.4,0.278928,0.581323,147.046,0.183619,0.240491,0.618591,0.00555067,0.00908053,0.0624221,0.304355,0.0268348,0.244321,0.314971,0.208931,0.204942,0.344667,0.430932,0.174708,0.0356135,0.0140801
towel_0,6,towel,6,0.333438,0.62325,0.268156,0.362519,0.868739,0.684968,0.658078,1.94846,0.0713542,0.392011,87.6922,48.9964,0.394337,0.451089,57.4877,0.204694,0.158158,0.941562,0.0080179,0.00821897,0.0146283,0.0275725,0.048409,0.371839,0.396898,0.166063,0.0167898,0.226813,0.233826,0.418288,0.0900317,0.0310411
paper_roll_0,7,paper_roll,7,0.0320315,0.615702,0.407537,0.459448,0.668171,0.926981,0.577435,1.7718,0.00645919,0.0396405,87.1234,71.1278,0.364493,0.303031,93.2329,0.272996,0.159334,0.848352,0.016129,0.0147265,0.0348878,0.0859046,0.262097,0.498773,0.206872,0.0210379,0.0112202,0.384642,0.242987,0.155856,0.122195,0.0943198
toilet_0,8,toilet,8,0.134021,0.619742,0.362602,0.002285,0.793242,1.19291,0.508814,1.55689,0.239931,0.481414,64.7429,178.922,0.105941,0.455962,122.069,0.100821,0.161061,0.365184,0.0201801,0.177446,0.166865,0.270324,0.0833365,0.253453,0.480878,0.178658,0.00367435,0.919703,0.0571352,0.013774,0.00602132,0.00336655
toilet_brush_0,9,toilet_brush,9,0.0234155,0.879801,0.807994,0.168214,0.544151,1.5161,0.335159,1.50787,0.00735054,0.059845,88.4494,63.3954,0.317385,0.360055,85.537,0.248766,0.141457,0.859737,0.0278207,0.0220247,0.0204791,0.0699382,0.142581,0.438563,0.394513,0.0243431,0,0.433539,0.289413,0.122102,0.0857805,0.0691654
plant_0,10,plant,10,0.08464,0.86875,0.760805,0.22029,1.1396,1.82271,0.796227,1.232,0.118747,0.529449,84.6765,63.1561,0.375105,0.440999,61.1605,0.227041,0.229334,0.892465,0.0334633,0.0100244,0.0388948,0.0251522,0.188787,0.187657,0.352094,0.245653,0.0258083,0.234207,0.382022,0.242445,0.0776437,0.0636824
towel_1,11,towel,6,0.0647356,0.923745,0.853249,0.62481,1.62801,2.09624,1.09623,1.08511,0.0531268,0.357409,87.6985,43.4028,0.37193,0.667805,27.5898,0.12175,0.115979,0.98816,0.00249602,0.000295581,0.00211833,0.00692973,0.000509056,0.0308554,0.21983,0.639736,0.109069,0.117855,0.387359,0.483735,0.00970491,0.00134654
bath_0,12,bath,11,0.127947,0.814671,0.658033,0.0457054,0.443748,1.72517,0.335158,0.40311,0.540387,1.29106,4.13185,163.313,0.110356,0.62085,108.128,0.184161,0.118932,0.313212,0.141772,0.200446,0.169317,0.175252,0.0156438,0.0445316,0.223201,0.710658,0.0059652,0.887837,0.0190313,0.0492425,0.0238213,0.0200683
bottle_0,13,bottle,12,0.296878,0.659873,0.341371,0.666475,0.796324,1.20239,0.733725,-0.105541,0.000909158,0.0156663,86.5897,38.2816,0.642448,0.603102,8.42303,0.166791,0.0861671,0.99914,0,0,0.000573559,0.000286779,0,0.00258102,0.549756,0.427588,0.0200746,0.0235159,0.0932033,0.172354,0.617149,0.0937769
